,truth_int,fiction type ,film_condensed,reality_condensed,duration
50,2,character development,"Lionel at home, upset. His concerned wife offers support.",Myrtle supported Lionel in his work. Did know he had a royal client.,54
51,-1,dramatic license,"Lionel waits to see Bertie, is sent away.",Not in the memoir.,43
52,0,dramatic license,Churchill suggests Bertie take over as King.,Nope. Churchill supported his brother David.,81
53,3,,"David wants to marry Wallis, no matter what.",David chose Wallis over kingship.,46
54,3,,David abdicates.,David abdicated 10th Dec 1936.,100
55,2,dramatic license,Bertie speaks disastrously before the Accession Council.,The declaration was halting but not disastrous.,103
56,3,,Elizabeth & kids pack their rocKing horses.,Bertie's daughters had rocking horses.,21
57,3,,Bertie arrives. His daughters curtsy.,Bertie adored his daughters.,39
58,3,,Bertie breaks down. He doesn't want to be King.,Bertie cried when he found out he had to be king.,123
59,3,,"Posters line the streets: ""Stand by our King""",David had a lot of supporters.,10
60,-1,dramatic license,Bertie & Elizabeth visit Lionel's home.,Not in the memoir.,56
61,1,character development,Bertie & Lionel apologise to each other.,There was no big apology.,123
62,0,dramatic license,Myrtle arrives home to find Elizabeth sitting at her table.,"Nope, but Lionel's family did meet the royals on several occasions..",62
63,0,dramatic license,Lionel introduces the King to his stunned wife.,Nope. Myrtle already knew he was working with the king.,38
64,3,,Bertie & Lionel enter Westminister Abbey to rehearse the coronation.,Lionel & Bertie rehearsed in the abbey.,59
65,2,character development,Bertie insists Lionel sits in the King's box. Lang is unhappy.,Lionel & Myrtle sat in the royal box.,39
66,3,,Lionel & Bertie rehearse in the abbey.,Lionel & Bertie rehearsed in the abbey.,41
67,1,dramatic license,"Lang has Lionel vetted, challenges his qualifications.",Lionel never misrepresented himself. Was not challenged by LANG.,191
68,1,dramatic license,Lionel requests Lang clear the premise. Lang is indignant.,Bertie insisted on Lionel.,32
69,0,dramatic license,Lionel slouches in the royal chair. Bertie is enraged.,Lionel was too deferent for this behaviour.,64
70,3,,Lang informs Lionel he's being replaced. Bertie asserts his authority.,Lang did suggest an alternative. Bertie insisted on Lionel.,60
71,3,,Lionel & Bertie rehearse. It goes well.,Bertie was pleased with his progress.,93
72,3,,HITLER speaking at Nuremberg.,Hitler spoke at Nuremberg.,48
73,3,character development,The coronation went well.,Yep. The coronation went well.,48
74,2,dramatic license,Prime Minister Baldwin resigns over handling of Hitler.,Baldwin resigned.,67
75,3,,War is announced.,Chamberlain announced war 3rd Sep 1939.,50
76,3,,Bertie must give a long speech to the nation. He calls for Lionel.,Lionel was summoned for the address.,34
77,3,,Lionel's son drives him to the palace.,Laurie drove Lionel to the palace.,174
78,3,,They have just 40m to broadcast.,They had 40m to rehearse.,14
79,2,dramatic license,"Bertie's confidence is low, does some practices.",Bertie crammed in some practise.,18
80,1,dramatic license,Bertie in the state room. Churchill offers support.,Churchill wasn't involved.,101
81,2,character development,Broadcast room has been redecorated.,Lionel took care of the broadcast setting.,90
82,3,,Lionel stands right in front of him. Bertie thanks him.,Lionel supported Bertie throughout. & stood right with him.,47
83,3,,The broadcast goes smoothly.,The speech went smoothly.,308
84,3,,"Lionel says he did ""quite well""",Bertie was congratulated.,34
85,2,dramatic license,Bertie is applauded as he poses for an official photo.,Bertie posed for 'the' photo afterwards. Officials were not there.,33
86,3,,Bertie thanks & congratulates Lionel,Bertie remained grateful to Lionel.,39
87,3,,"Elizabeth enters, is proud & relieved.",Elizabeth was a proud wife.,29
88,0,dramatic license,Bertie received contratulations from officials.,Those officials weren't present.,96
89,3,,Title: Bertie made Lionel a CVO. Remained friends etc.,"Lionel got a CVO, remained close to Bertie.",31
