,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
20,2,narrative convenience,"Sheriff Clark hits Cager Lee, Annie Lee Cooper hits Clark, she's arrested. ",Lee was attacked in nearby Marion. Cooper did hit Clark. ,74,0:35:02,0:36:16
21,3,,King shown in jail. ,King got himself arrested on purpose.,14,0:36:16,0:36:30
22,3,,Johnson watches Wallace speak out against desegregation.,Johnson viewed Wallace as an uncontrollable bigot. ,41,0:36:30,0:37:11
23,2,character development,King is despondent.,King suffered moments of despondency. ,199,0:37:11,0:40:30
24,3,,Malcolm X turns up. The SCLC are alarmed.,Malcolm X arrived in support of King. ,22,0:40:30,0:40:52
25,3,,Coretta meets with Malcolm X. ,They met in secret. ,89,0:40:52,0:42:21
26,3,,Malcolm X persuades Coretta he's there to help. ,Coretta felt optimistic they could work together. ,73,0:42:21,0:43:34
27,2,character development,"King was suspicious of Malcolm X, didn't like Coretta talking with him.",King deplored Malcolm X's violent approach.,114,0:43:34,0:45:28
28,3,,Wallace hatches a plan to kill the movement.,Wallace sanctioned planned violence against the protesters.,105,0:45:28,0:47:13
29,3,,"Police kill lights, attack protesters. Jackson & family flee.",Police killed the lights to hide their violence from reporters. Jackson family fled. ,61,0:47:13,0:48:14
30,2,dramatic license,"The cops find Jackson & family, shoot him dead.","The cops shot Jackson, but he died from his wounds several days later. ",107,0:48:14,0:50:01
31,3,,King visits Cager Lee in hospital. ,King visited Jackson & family in hospital.,184,0:50:01,0:53:05
32,3,,King gives a eulogy at Jackson's funeral. ,The funeral speech sparked the Selma to Montgomery march. ,201,0:53:05,0:56:26
33,3,,SCLC & SNCC leaders meet to discuss tactics.,They met frequently for strategy meetings.,122,0:56:26,0:58:28
34,2,character development,"King informs Johnson of his intention to march, Johnson not happy.","King kept Johnson updated, Johnson's response contested. ",64,0:58:28,0:59:32
35,-1,,White warns King's people to keep King safe.,We couldn't find a source for this.,55,0:59:32,1:00:27
36,2,character development,King tells Johnson the cause won't wait for him. ,They discussed legislation but we don't have details. ,15,1:00:27,1:00:42
37,2,character development,Johnson brings Hoover in.,"Johnson worked with Hoover, although to what extent is contested.",17,1:00:42,1:00:59
38,3,,"Coretta is sent a recording, apparently of King having sex with someone else.",The FBI did mail incriminating tapes to Coretta.,285,1:00:59,1:05:44
39,-1,,King agrees to stay home the first day of the march.,We couldn't find a source for this.,126,1:05:44,1:07:50
40,3,,Wallace condemns the march.,Wallace ordered extreme measures to prevent the march.,51,1:07:50,1:08:41
41,3,,Lewis & Forman argue about the march.,SNCC had reservations. ,114,1:08:41,1:10:35
42,3,,The march begins.,Over 500 protesters marched across Edmund Pettus Bridge.,102,1:10:35,1:12:17
43,3,,State troopers await the protesters.,The troopers lined up to block the march.,64,1:12:17,1:13:21
44,2,narrative convenience,"Bayard calls Young, tells him to turn on TV.",Footage from the march was broadcast on CBS.,16,1:13:21,1:13:37
45,3,,Troopers release tear gas & attack.,Troopers used teargas & nightsticks to attack protesters.,89,1:13:37,1:15:06
46,2,narrative convenience,17m people watch events on the news.,Millions of people tuned in.,14,1:15:06,1:15:20
47,3,,Troopers knock Boynton to the ground.,A photo of Boynton's assault went global.,10,1:15:20,1:15:30
48,3,,Viewers glued to TV sets watch the violence. ,Millions of people saw what happened via CBS. ,101,1:15:30,1:17:11
49,-1,,Lewis & Abernathy help Boynton up.,We couldn't find a source for this.,38,1:17:11,1:17:49
50,3,,People reconvene outside the chapel.,Marchers returned to the chapel.,43,1:17:49,1:18:32
51,2,dramatic license,Young talks a man out of using a gun to retaliate.,The leaders discouraged violence.,51,1:18:32,1:19:23
52,3,,King ordered the second march following Bloody Sunday.,King organized a second march.,26,1:19:23,1:19:49
53,3,,King puts out a call to action. ,King called for supporters to come to Selma.,52,1:19:49,1:20:41
54,3,,Minister James Reeb heads to Selma. ,"Reeb answered King's call, went to Selma. ",17,1:20:41,1:20:58
55,3,,Judge Johnson won't allow the march without White House backup.,"Judge Johnson was sympathetic, but wanted to wait for formal hearings.",30,1:20:58,1:21:28
56,-1,,Johnson warns Wallace & King to stop. ,We couldn't find a source for this.,76,1:21:28,1:22:44
57,3,,Lawyer Doar asks King to give up the march for his own safety. He refuses.,Doar urged King to postpone the march. SCLC leaders told him no.,91,1:22:44,1:24:15
58,3,,"Hundreds gather, including Archbishop Iakovos.",Archbishop Iakovos joined the march.,48,1:24:15,1:25:03
59,3,,King addresses the crowd of black & white supporters.,Around a third of the protesters were white. ,39,1:25:03,1:25:42
60,3,,"Troops withdraw, the marchers kneel in prayer. ",The troopers stepped aside & the marchers kneeled.,186,1:25:42,1:28:48
61,3,,"King turns back, leads the marchers home.",King turned the marchers around to obey a federal injunction.,58,1:28:48,1:29:46
62,3,,SNCC & SCLC leaders argue about King's decision.,"Only a few knew of the turnaround plan, others weren't happy. ",104,1:29:46,1:31:30
63,3,,King sends his wife a letter.,King often wrote to his wife.,122,1:31:30,1:33:32
64,2,dramatic license,White supremacists attack & kill Reeb.,"Reeb was attacked by white men, died two days later. ",124,1:33:32,1:35:36
65,3,,Johnson annoyed about sit-ins at The White House.,Seven Selma activists conducted a sit-in at The White House.,113,1:35:36,1:37:29
66,-1,,King  & Lewis debate approaches.,We couldn't find a source for this.,261,1:37:29,1:41:50
67,3,,King goes to court to fight for the right to march in safety.,King went to court to get his march sanctioned.,69,1:41:50,1:42:59
68,3,,Judge Johnson grants the right to march unencumbered from Selma.,Judge Johnson overtuned Wallace's prohibiton of the march. ,138,1:42:59,1:45:17
69,3,,Key leaders arrange for famous speakers to attend the march.,Some really big stars attended the march. ,39,1:45:17,1:45:56
70,3,,Wallace informed Johnson is going over his head.,Johnson tried to work with Wallace but eventually went over him. ,20,1:45:56,1:46:16
71,3,,Wallace & Johnson debate the issue.,Johnson urged Wallace to protect the marchers.,160,1:46:16,1:48:56
72,3,,Johnson announces his Voting Rights Bill.,Johnson demanded Congress pass his Voting Rights Bill.,131,1:48:56,1:51:07
73,3,,Doar implores King to nix his speech for safety.,Doar tried to protect King. ,147,1:51:07,1:53:34
74,3,,Thousands march with military protection.,"8000 people joined the march, protected by police & military.",149,1:53:34,1:56:03
75,3,,"Titles: Most activists went on to do well, some were killed. The Voting Rights Act got signed in. ","Many activists got official posts, some were murdered. Johnson signed the Voting Rights Act.",230,1:56:03,1:59:53
