,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
17,-1,dramatic license,Hoffman asks Donovan for info on Abel. He refuses.,Not in the memoir. ,154,0:28:43,0:31:17
18,3,,Powers is shown the U-2 spy plane he'll be flying. ,The U-2 mission was based at Peshawar. ,86,0:31:17,0:32:43
19,2,narrative cohesion,Donovan views evidence against Abel. There was no search warrant. ,Evidence against Abel covered 25 tables. ,56,0:32:43,0:33:39
20,3,,Byers denies Donovan's motion to throw out illegally-obtained evidence.,Donovan raised search-and-seizure protocol issues. ,68,0:33:39,0:34:47
21,3,,Abel asks Donovan how the case is going. ,Abel was super calm. ,43,0:34:47,0:35:30
22,3,,A classroom of kids are shown an atomic attack infofilm. ,Kids were shown civil defence advice films. ,51,0:35:30,0:36:21
23,1,character development,Donovan's son Roger is concerned about everything. ,"True, but for Spielberg, not Donovan. ",84,0:36:21,0:37:45
24,-1,dramatic license,Donovan gets glared at on the subway.,Not in the memoir. ,32,0:37:45,0:38:17
25,3,,Abel is found guilty on all counts.,Abel was found guilty. ,39,0:38:17,0:38:56
26,3,,Abel & Donovan talk. They like each other. ,Abel & Donovan liked each other. ,223,0:38:56,0:42:39
27,2,character development,"Donovan visits Byers at home, asks that Abel live. ",Donovan presented this argument in open court. ,170,0:42:39,0:45:29
28,3,,Byers sentences Abel to 30 years.,Abel got jail time.,98,0:45:29,0:47:07
29,3,,Donovan tells journalists he'll be appealing. ,Donovan pursued an appeal. ,45,0:47:07,0:47:52
30,-1,dramatic license,People have thrown glass into Donovan's office in protest.,Not in the memoir. ,45,0:47:52,0:48:37
31,3,,Donovan & Abel listen to music in custody.,"Donovan visited Abel often, discussed everything. ",100,0:48:37,0:50:17
32,0,dramatic license,Shots are fired into Donovan's home. ,This didn't happen. ,54,0:50:17,0:51:11
33,-1,dramatic license,"The police arrive, an officer yells at Donovan. ",Not in the memoir. ,85,0:51:11,0:52:36
34,3,,CIA recruits are told to kill themselves in the event of capture. ,Spies were given a poisoned needle in a hollow silver dollar. ,97,0:52:36,0:54:13
35,3,,Donovan heads to the Supreme Court. ,Donovan took Abel's case to The Supreme Court. ,12,0:54:13,0:54:25
36,3,,The CIA spies head out on their mission. ,The CIA sent a plane to photograph Soviet territory. ,27,0:54:25,0:54:52
37,3,,Donovan gives a speech to the Supreme Court. ,Donovan took Abel's case to The Supreme Court. ,29,0:54:52,0:55:21
38,3,,"CIA spies conduct pre-flight checks, Powers is piloting. ",Powers piloted the U-2. ,12,0:55:21,0:55:33
39,3,,Donovan continues his speech. ,Donovan took Abel's case to The Supreme Court. ,20,0:55:33,0:55:53
40,3,,Powers takes off. ,Powers flew the U-2 from Peshawar.,21,0:55:53,0:56:14
41,3,,Donovan's speech has everyone listening. ,Donovan took Abel's case to The Supreme Court. ,49,0:56:14,0:57:03
42,3,,The U-2 is shot down. Powers opens his parachute. ,Powers' U-2 was shot down. ,165,0:57:03,0:59:48
43,3,,Abel hears his conviction was upheld by 5 to 4.,The court affirmed the verdict by a vote of 5 to 4.,36,0:59:48,1:00:24
44,3,,Mary hears the same news.,The family were relieved when it was over. ,15,1:00:24,1:00:39
45,3,,Donovan gets a letter from East Germany in with his usual hatemail.,"Donovan got hatemail, & letters from Germany. ",61,1:00:39,1:01:40
46,3,,The letter is from someone posing as Abel's wife.,Donovan received letters from Abel's fake wife. ,49,1:01:40,1:02:29
47,3,,Powers gets 10 years from the Russian govt. ,Powers got 10 years. ,52,1:02:29,1:03:21
48,3,,CIA director Dulles asks Donovan to negotiate a prisoner exchange. ,Donovan was asked to negotiate a prisoner exchange. ,237,1:03:21,1:07:18
49,1,dramatic license,"Berlin - the wall is going up. Pryor, a student, slips through a gap.",Pryor wasn't in Berlin when the wall was under construction.,107,1:07:18,1:09:05
50,0,dramatic license,"Pryor finds his girlfriend, implores her to leave with him. ",Pryor didn't have a girlfriend in Berlin.,31,1:09:05,1:09:36
51,2,dramatic license,"They get trapped, the police arrest Pryor. ",Pryor was arrested in Berlin. ,105,1:09:36,1:11:21
52,2,dramatic license,"Donovan packs to leave, his wife is scared. ",Donovan didn't tell his wife the truth. ,43,1:11:21,1:12:04
53,3,,Berlin - Donovan told he will be working alone. ,Donovan conducted his negotiations alone. ,144,1:12:04,1:14:28
54,3,,Hoffman warns Donovan of the dangers in East Berlin. ,"Donovan stayed in an apartment, briefed by 'Bob'.",118,1:14:28,1:16:26
55,0,dramatic license,Pryor's girlfriend tries to visit him in jail. ,Pryor didn't have a girlfriend in Berlin.,26,1:16:26,1:16:52
56,3,,Donovan persuades guards to let him skip a checkpoint line. ,Donovan skipped the queue.,126,1:16:52,1:18:58
57,1,dramatic license,A gang of boys steal Donovan's coat. ,This didn't happen. ,127,1:18:58,1:21:05
58,3,,Donovan meets Abel's 'family' at the Russian Embassy.,Donovan met Abel's 'family'.,130,1:21:05,1:23:15
59,3,,Donovan negotiates with Soviet Secretary Schischkin.,Donovan negotiated with Schischkin. ,355,1:23:15,1:29:10
60,3,,Lawyer Vogel agrees to exchange Pryor for Abel. ,Donovan met with Vogel. ,173,1:29:10,1:32:03
61,3,,Donovan briefs Hoffman on his progress.,Donovan reported back to 'Bob'. ,112,1:32:03,1:33:55
62,3,,Powers interrogated by the Soviets.,Powers was sleep-deprived & interrogated. ,153,1:33:55,1:36:28
63,3,,Agents wake Abel in his cell.,Abel was brought to Berlin for the exchange. ,39,1:36:28,1:37:07
64,3,,Moscow agrees to the exchange of Abel for Powers.,Moscow agreed to the exchange. ,121,1:37:07,1:39:08
65,3,,Vogel is now refusing the exchange of Abel for Pryor.,The DDR had issues with the double trade. ,42,1:39:08,1:39:50
66,3,,The police pull Vogel & Donovan over. ,Police pulled Vogel's car over. ,155,1:39:50,1:42:25
67,2,dramatic license,"The police take Donovan away, citing passport problems.",The incident was probably staged.,74,1:42:25,1:43:39
68,0,dramatic license,Donovan spends the night in jail. ,Donovan didn't spend any time in jail. ,55,1:43:39,1:44:34
69,1,dramatic license,From the train he sees would-be escapees getting shot.,Donovan didn't see any shootings. ,67,1:44:34,1:45:41
70,0,character development,Hoffman tells him the Germans called. Donovan rushes off. ,Donovan didn't ignore instructions. ,160,1:45:41,1:48:21
71,-1,narrative cohesion,"Donovan meets East German AG Ott, who offers him Pryor only. ",Not in the memoir. ,107,1:48:21,1:50:08
72,-1,narrative cohesion,Donovan tells Ott's assistant to pass on a tough message.,Not in the memoir. ,203,1:50:08,1:53:31
73,3,,Donovan's insistence on saving both Pryor & Powers makes Hoffman mad. ,The US priority was Powers. ,57,1:53:31,1:54:28
74,-1,character development,"Donovan calls Mary, says he's in London. ",Not in the memoir. ,32,1:54:28,1:55:00
75,2,narrative cohesion,"The exchange is confirmed. Powers at Glienicke Bridge, Pryor at Checkpoint Charlie.",The complicated exchange was confirmed by phone. ,90,1:55:00,1:56:30
76,3,,Donovan's party waits at Glienicke Bridge. ,The exchange happened at Glienicke Bridge. ,99,1:56:30,1:58:09
77,3,,They call Checkpoint Charlie to see if Pryor is there.,The guards phoned for updated from Checkpoint Charlie. ,30,1:58:09,1:58:39
78,3,,The other side arrive. Donovan sticks by Abel. ,Donovan saw Abel off across the bridge. ,159,1:58:39,2:01:18
79,3,,Donovan insists they wait for confirmation of Pryor's arrival. ,They waited for Pryor to get to Checkpoint Charlie.,151,2:01:18,2:03:49
80,3,,Pryor arrives at Checkpoint Charlie. ,Pryor was released at Checkpoint Charlie. ,77,2:03:49,2:05:06
81,2,dramatic license,Abel tells Donovan he's sent him a painting. ,Donovan watched the exchange. Abel gave him a painting. ,134,2:05:06,2:07:20
82,2,character development,"Powers tries to thank people, nobody listens. ",Powers thanked Donovan. ,63,2:07:20,2:08:23
83,2,dramatic license,"Donovan unwraps the painting, it's a portrait of him. ",Abel gave Donovan a painting. ,33,2:08:23,2:08:56
84,-1,character development,"Donovan arrives home, his wife asks for her marmalade. ",Not in the memoir. ,70,2:08:56,2:10:06
85,-1,character development,Donovan's family hear what he's been up to when it hits the news. ,Not in the memoir. ,28,2:10:06,2:10:34
86,-1,character development,"Mary finds Donovan fast asleep, she's proud.",Not in the memoir. ,93,2:10:34,2:12:07
87,-1,dramatic license,"Donovan on the subway, now respected by strangers.",Not in the memoir. ,80,2:12:07,2:13:27
88,3,,Abel reunited with his real family. ,Abel went back to his family. ,8,2:13:27,2:13:35
89,3,,"Powers died in a crash, awarded posthumous accolades.","Powers got bravery awards, died in helicopter crash. ",11,2:13:35,2:13:46
90,3,,Pryor became Professor Emeritus at Swarthmore College.,Pryor became a professor.,8,2:13:46,2:13:54
91,3,,Donovan sent to Cuba to negotiate for prisoners.,Donovan negotiated for Bay of Pigs prisoners.,25,2:13:54,2:14:19
